,Geographic area,City_x,share_white,share_black,share_native_american,share_asian,share_hispanic,city,Geographic Area_x,City_y,Median Income,Geographic Area_y,City_x,poverty_rate,Geographic Area,City_y,percent_completed_hs
37,AK,Butte CDP,90.4,0.3,4.3,0.6,3.1,AK-Butte CDP,AK,Butte CDP,81875,AK,Butte CDP,9.6,AK,Butte CDP,94.3
38,AK,Cantwell CDP,77.2,0.5,15.5,0,1.4,AK-Cantwell CDP,AK,Cantwell CDP,56000,AK,Cantwell CDP,9.1,AK,Cantwell CDP,95
39,AK,Central CDP,92.7,0,4.2,0,1,AK-Central CDP,AK,Central CDP,(X),AK,Central CDP,5.2,AK,Central CDP,82.2
40,AK,Chalkyitsik CDP,14.5,0,85.5,0,0,AK-Chalkyitsik CDP,AK,Chalkyitsik CDP,29375,AK,Chalkyitsik CDP,36.6,AK,Chalkyitsik CDP,88.7
41,AK,Chase CDP,100,0,0,0,0,AK-Chase CDP,AK,Chase CDP,-,AK,Chase CDP,0,AK,Chase CDP,65.2
42,AK,Chefornak city,3.3,0.2,95.7,0,0,AK-Chefornak city,AK,Chefornak city,55625,AK,Chefornak city,18.4,AK,Chefornak city,74.3
43,AK,Chena Ridge CDP,83.8,1.3,6.2,1.8,3.2,AK-Chena Ridge CDP,AK,Chena Ridge CDP,93532,AK,Chena Ridge CDP,4.9,AK,Chena Ridge CDP,96.5
44,AK,Chenega CDP,39.5,0,52.6,0,2.6,AK-Chenega CDP,AK,Chenega CDP,(X),AK,Chenega CDP,34.8,AK,Chenega CDP,100
45,AK,Chevak city,2.3,0,94.9,0.3,0.1,AK-Chevak city,AK,Chevak city,41136,AK,Chevak city,32.8,AK,Chevak city,82.8
46,AK,Chickaloon CDP,86.4,0,6.3,0.7,1.5,AK-Chickaloon CDP,AK,Chickaloon CDP,40893,AK,Chickaloon CDP,13.5,AK,Chickaloon CDP,91.7
47,AK,Chicken CDP,100,0,0,0,14.3,AK-Chicken CDP,AK,Chicken CDP,-,AK,Chicken CDP,-,AK,Chicken CDP,-
48,AK,Chignik Lagoon CDP,20.5,0,62.8,1.3,3.8,AK-Chignik Lagoon CDP,AK,Chignik Lagoon CDP,93438,AK,Chignik Lagoon CDP,0,AK,Chignik Lagoon CDP,84
49,AK,Chignik Lake CDP,2.7,0,94.5,0,0,AK-Chignik Lake CDP,AK,Chignik Lake CDP,45000,AK,Chignik Lake CDP,8.6,AK,Chignik Lake CDP,68.2
50,AK,Chignik city,34.1,0,57.1,3.3,1.1,AK-Chignik city,AK,Chignik city,96250,AK,Chignik city,0,AK,Chignik city,100
51,AK,Chiniak CDP,91.5,0,4.3,0,0,AK-Chiniak CDP,AK,Chiniak CDP,-,AK,Chiniak CDP,0,AK,Chiniak CDP,100
52,AK,Chisana CDP,(X),(X),(X),(X),(X),AK-Chisana CDP,AK,Chisana CDP,-,AK,Chisana CDP,-,AK,Chisana CDP,-
53,AK,Chistochina CDP,36.6,0,53.8,0,0,AK-Chistochina CDP,AK,Chistochina CDP,(X),AK,Chistochina CDP,20.3,AK,Chistochina CDP,80
54,AK,Chitina CDP,64.3,0,19.8,0,2.4,AK-Chitina CDP,AK,Chitina CDP,(X),AK,Chitina CDP,15,AK,Chitina CDP,82.6
55,AK,Chuathbaluk city,3.4,1.7,88.1,0,2.5,AK-Chuathbaluk city,AK,Chuathbaluk city,43750,AK,Chuathbaluk city,50.5,AK,Chuathbaluk city,92
56,AK,Circle CDP,9.6,0,84.6,0,1.9,AK-Circle CDP,AK,Circle CDP,17125,AK,Circle CDP,63.6,AK,Circle CDP,54.3
57,AK,Clam Gulch CDP,85.2,0,5.7,0,0.6,AK-Clam Gulch CDP,AK,Clam Gulch CDP,(X),AK,Clam Gulch CDP,13.2,AK,Clam Gulch CDP,84.3
58,AK,Clark's Point city,11.3,0,88.7,0,0,AK-Clark's Point city,AK,Clark's Point city,25833,AK,Clark's Point city,55.4,AK,Clark's Point city,74.2
59,AK,Coffman Cove city,94.3,0,4,0,1.1,AK-Coffman Cove city,AK,Coffman Cove city,41786,AK,Coffman Cove city,6,AK,Coffman Cove city,91.9
60,AK,Cohoe CDP,89.5,0.4,4.5,0.4,2.2,AK-Cohoe CDP,AK,Cohoe CDP,57228,AK,Cohoe CDP,16,AK,Cohoe CDP,95
61,AK,Cold Bay city,74.1,1.9,12,1.9,4.6,AK-Cold Bay city,AK,Cold Bay city,86250,AK,Cold Bay city,0,AK,Cold Bay city,97.5
62,AK,Coldfoot CDP,90,0,10,0,0,AK-Coldfoot CDP,AK,Coldfoot CDP,-,AK,Coldfoot CDP,30,AK,Coldfoot CDP,70
63,AK,College CDP,73.1,3.2,9.5,4.6,5.3,AK-College CDP,AK,College CDP,73812,AK,College CDP,8.2,AK,College CDP,94.9
64,AK,Cooper Landing CDP,95.5,0,1.4,0.7,0,AK-Cooper Landing CDP,AK,Cooper Landing CDP,64301,AK,Cooper Landing CDP,4.2,AK,Cooper Landing CDP,95.3
65,AK,Copper Center CDP,45.7,0,48.5,0.3,3,AK-Copper Center CDP,AK,Copper Center CDP,39063,AK,Copper Center CDP,18.8,AK,Copper Center CDP,84.8
66,AK,Cordova city,70.3,0.4,8.8,10.9,4.2,AK-Cordova city,AK,Cordova city,85833,AK,Cordova city,5.8,AK,Cordova city,91.6
67,AK,Covenant Life CDP,91.9,0,5.8,1.2,0,AK-Covenant Life CDP,AK,Covenant Life CDP,31875,AK,Covenant Life CDP,0,AK,Covenant Life CDP,100
68,AK,Craig city,65,0.3,20,0.7,3.2,AK-Craig city,AK,Craig city,63229,AK,Craig city,13.9,AK,Craig city,89.3
69,AK,Crooked Creek CDP,7.6,0,83.8,0,0,AK-Crooked Creek CDP,AK,Crooked Creek CDP,31250,AK,Crooked Creek CDP,39.8,AK,Crooked Creek CDP,80.8
70,AK,Crown Point CDP,83.8,4.1,4.1,4.1,5.4,AK-Crown Point CDP,AK,Crown Point CDP,56688,AK,Crown Point CDP,0,AK,Crown Point CDP,100
71,AK,Deering city,9,0,86.9,0,0,AK-Deering city,AK,Deering city,50000,AK,Deering city,14,AK,Deering city,88
72,AK,Delta Junction city,88.1,1.8,3.2,1.1,4.7,AK-Delta Junction city,AK,Delta Junction city,72500,AK,Delta Junction city,10.6,AK,Delta Junction city,95.4
73,AK,Deltana CDP,92.1,0.9,2.5,0.9,2.4,AK-Deltana CDP,AK,Deltana CDP,74457,AK,Deltana CDP,14.9,AK,Deltana CDP,93.8
74,AK,Diamond Ridge CDP,91.7,0.2,3.1,1.3,2.1,AK-Diamond Ridge CDP,AK,Diamond Ridge CDP,69375,AK,Diamond Ridge CDP,9.2,AK,Diamond Ridge CDP,97
75,AK,Dillingham city,30.7,0.4,55.9,1.3,2.9,AK-Dillingham city,AK,Dillingham city,66875,AK,Dillingham city,12.3,AK,Dillingham city,93.6
76,AK,Diomede city,4.3,0,92.2,0,0,AK-Diomede city,AK,Diomede city,16250,AK,Diomede city,65.1,AK,Diomede city,63.6
77,AK,Dot Lake CDP,69.2,0,23.1,0,0,AK-Dot Lake CDP,AK,Dot Lake CDP,-,AK,Dot Lake CDP,-,AK,Dot Lake CDP,-
78,AK,Dot Lake Village CDP,8.1,0,82.3,0,0,AK-Dot Lake Village CDP,AK,Dot Lake Village CDP,20625,AK,Dot Lake Village CDP,25.9,AK,Dot Lake Village CDP,64.9
79,AK,Dry Creek CDP,100,0,0,0,4.3,AK-Dry Creek CDP,AK,Dry Creek CDP,(X),AK,Dry Creek CDP,15.5,AK,Dry Creek CDP,100
80,AK,Eagle Village CDP,55.2,1.5,38.8,1.5,0,AK-Eagle Village CDP,AK,Eagle Village CDP,(X),AK,Eagle Village CDP,17.6,AK,Eagle Village CDP,82.4
81,AK,Eagle city,90.7,0,8.1,0,0,AK-Eagle city,AK,Eagle city,33125,AK,Eagle city,25.8,AK,Eagle city,90.7
82,AK,Edna Bay CDP,97.6,2.4,0,0,0,AK-Edna Bay CDP,,,,,,,,,
83,,,,,,,,AK-Edna Bay city,AK,Edna Bay city,-,AK,Edna Bay city,-,AK,Edna Bay city,-
84,AK,Eek city,2.4,0,97.6,0,1,AK-Eek city,AK,Eek city,39063,AK,Eek city,21.2,AK,Eek city,68.7
85,AK,Egegik city,47.7,0,39.4,0,1.8,AK-Egegik city,AK,Egegik city,38125,AK,Egegik city,17.6,AK,Egegik city,91.1
