,Geographic area,City_x,share_white,share_black,share_native_american,share_asian,share_hispanic,city,Geographic Area_x,City_y,Median Income,Geographic Area_y,City_x,poverty_rate,Geographic Area,City_y,percent_completed_hs
2715,CA,Live Oak city,53.5,1.6,1.5,11.7,48.8,CA-Live Oak city,CA,Live Oak city,42288,CA,Live Oak city,21.8,CA,Live Oak city,63.7
2716,CA,Livermore city,74.6,2.1,0.6,8.4,20.9,CA-Livermore city,CA,Livermore city,100992,CA,Livermore city,5.7,CA,Livermore city,91.5
2717,CA,Livingston city,40.3,0.8,2.7,17,73.1,CA-Livingston city,CA,Livingston city,51538,CA,Livingston city,20.8,CA,Livingston city,51.8
2718,CA,Lockeford CDP,78.1,0.3,0.7,2,29.6,CA-Lockeford CDP,CA,Lockeford CDP,44244,CA,Lockeford CDP,20.7,CA,Lockeford CDP,76.3
2719,CA,Lockwood CDP,78.4,1.1,1.6,0.5,26.4,CA-Lockwood CDP,CA,Lockwood CDP,46538,CA,Lockwood CDP,27.1,CA,Lockwood CDP,94.2
2720,CA,Lodi city,68.7,0.8,0.9,6.9,36.4,CA-Lodi city,CA,Lodi city,49316,CA,Lodi city,17.4,CA,Lodi city,80.4
2721,CA,Lodoga CDP,84.8,8.1,2,1,4.1,CA-Lodoga CDP,CA,Lodoga CDP,42031,CA,Lodoga CDP,4.4,CA,Lodoga CDP,72.5
2722,CA,Loleta CDP,82.1,1.5,2,0.6,14.6,CA-Loleta CDP,CA,Loleta CDP,45417,CA,Loleta CDP,23.3,CA,Loleta CDP,87.4
2723,CA,Loma Linda city,47.8,8.7,0.4,28.3,22.2,CA-Loma Linda city,CA,Loma Linda city,55895,CA,Loma Linda city,17.6,CA,Loma Linda city,90.3
2724,CA,Loma Mar CDP,89.4,1.8,0,2.7,10.6,CA-Loma Mar CDP,CA,Loma Mar CDP,(X),CA,Loma Mar CDP,57,CA,Loma Mar CDP,51.2
2725,CA,Loma Rica CDP,88,0.8,2.5,0.8,8.9,CA-Loma Rica CDP,CA,Loma Rica CDP,62404,CA,Loma Rica CDP,9.7,CA,Loma Rica CDP,91.3
2726,CA,Lomita city,59.2,5.3,0.9,14.4,32.8,CA-Lomita city,CA,Lomita city,57078,CA,Lomita city,14.7,CA,Lomita city,86.8
2727,CA,Lompico CDP,88.4,0.5,1.1,1.8,10.1,CA-Lompico CDP,CA,Lompico CDP,69500,CA,Lompico CDP,8.9,CA,Lompico CDP,92.8
2728,CA,Lompoc city,61.2,5.7,1.8,3.8,50.8,CA-Lompoc city,CA,Lompoc city,44866,CA,Lompoc city,21.3,CA,Lompoc city,74.7
2729,CA,London CDP,40.7,0.3,2.5,0,92.9,CA-London CDP,CA,London CDP,24491,CA,London CDP,47.2,CA,London CDP,33.6
2730,CA,Lone Pine CDP,65.6,0.3,10.1,0.8,34.1,CA-Lone Pine CDP,CA,Lone Pine CDP,31321,CA,Lone Pine CDP,15.6,CA,Lone Pine CDP,75.7
2731,CA,Long Barn CDP,90.3,0.6,1.9,0,8.4,CA-Long Barn CDP,CA,Long Barn CDP,-,CA,Long Barn CDP,70.6,CA,Long Barn CDP,100
2732,CA,Long Beach city,46.1,13.5,0.7,12.9,40.8,CA-Long Beach city,CA,Long Beach city,52783,CA,Long Beach city,20.6,CA,Long Beach city,79.4
2733,CA,Lookout CDP,90.5,0,2.4,0,16.7,CA-Lookout CDP,CA,Lookout CDP,(X),CA,Lookout CDP,0,CA,Lookout CDP,92.5
2734,CA,Loomis town,89.2,0.5,1.2,2.6,8.8,CA-Loomis town,CA,Loomis town,89706,CA,Loomis town,2.4,CA,Loomis town,96.4
2735,CA,Los Alamitos city,71,2.8,0.4,12.8,21.1,CA-Los Alamitos city,CA,Los Alamitos city,80033,CA,Los Alamitos city,11.2,CA,Los Alamitos city,91.7
2736,CA,Los Alamos CDP,88.2,0.3,0.5,1.7,40.9,CA-Los Alamos CDP,CA,Los Alamos CDP,61115,CA,Los Alamos CDP,26.5,CA,Los Alamos CDP,77.3
2737,CA,Los Altos Hills town,68.4,0.5,0.1,26.6,2.7,CA-Los Altos Hills town,CA,Los Altos Hills town,226319,CA,Los Altos Hills town,5.3,CA,Los Altos Hills town,98
2738,CA,Los Altos city,70.6,0.5,0.2,23.5,3.9,CA-Los Altos city,CA,Los Altos city,175938,CA,Los Altos city,2.6,CA,Los Altos city,98.7
2739,CA,Los Angeles city,49.8,9.6,0.7,11.3,48.5,CA-Los Angeles city,CA,Los Angeles city,50205,CA,Los Angeles city,22.1,CA,Los Angeles city,75.5
2740,CA,Los Banos city,58,3.8,1.4,3.2,64.9,CA-Los Banos city,CA,Los Banos city,44292,CA,Los Banos city,26.2,CA,Los Banos city,66.8
2741,CA,Los Berros CDP,82.2,0.6,0.2,1.9,23.9,CA-Los Berros CDP,CA,Los Berros CDP,60565,CA,Los Berros CDP,20,CA,Los Berros CDP,81.2
2742,CA,Los Gatos town,81.8,0.9,0.3,10.9,7.2,CA-Los Gatos town,CA,Los Gatos town,126122,CA,Los Gatos town,5.6,CA,Los Gatos town,97.2
2743,CA,Los Molinos CDP,77.6,0,1.9,0.3,26.4,CA-Los Molinos CDP,CA,Los Molinos CDP,40347,CA,Los Molinos CDP,29.2,CA,Los Molinos CDP,68.9
2744,CA,Los Olivos CDP,92.7,0.1,0.4,1.1,11,CA-Los Olivos CDP,CA,Los Olivos CDP,89605,CA,Los Olivos CDP,1.3,CA,Los Olivos CDP,95.4
2745,CA,Los Osos CDP,86.2,0.6,0.7,5.2,13.8,CA-Los Osos CDP,CA,Los Osos CDP,62857,CA,Los Osos CDP,9.5,CA,Los Osos CDP,92.5
2746,CA,Los Ranchos CDP,94,0.1,0.1,2.1,3.9,CA-Los Ranchos CDP,CA,Los Ranchos CDP,92500,CA,Los Ranchos CDP,6,CA,Los Ranchos CDP,98.7
2747,CA,Lost Hills CDP,5.5,0.2,0,0.7,97.6,CA-Lost Hills CDP,CA,Lost Hills CDP,31033,CA,Lost Hills CDP,37.2,CA,Lost Hills CDP,30.7
2748,CA,Lower Lake CDP,79.7,1.5,1.4,1,16.9,CA-Lower Lake CDP,CA,Lower Lake CDP,30610,CA,Lower Lake CDP,14.8,CA,Lower Lake CDP,81.6
2749,CA,Loyalton city,91.2,0.3,2.7,0,14,CA-Loyalton city,CA,Loyalton city,40563,CA,Loyalton city,16.3,CA,Loyalton city,91.1
2750,CA,Loyola CDP,70.3,0.6,0,23.3,3.5,CA-Loyola CDP,CA,Loyola CDP,200208,CA,Loyola CDP,1.6,CA,Loyola CDP,99.4
2751,CA,Lucas Valley-Marinwood CDP,85.7,1.1,0.3,7,7.3,CA-Lucas Valley-Marinwood CDP,CA,Lucas Valley-Marinwood CDP,117071,CA,Lucas Valley-Marinwood CDP,6.8,CA,Lucas Valley-Marinwood CDP,95.5
2752,CA,Lucerne CDP,84.2,2,3.4,0.8,12,CA-Lucerne CDP,CA,Lucerne CDP,23059,CA,Lucerne CDP,39,CA,Lucerne CDP,75.4
2753,CA,Lucerne Valley CDP,77.6,2.9,1.8,1.5,24.9,CA-Lucerne Valley CDP,CA,Lucerne Valley CDP,26429,CA,Lucerne Valley CDP,22.9,CA,Lucerne Valley CDP,86.5
2754,CA,Lynwood city,39.3,10.3,0.7,0.7,86.6,CA-Lynwood city,CA,Lynwood city,43109,CA,Lynwood city,25.3,CA,Lynwood city,52.8
2755,CA,Lytle Creek CDP,86.4,0.9,1,3.3,14,CA-Lytle Creek CDP,CA,Lytle Creek CDP,48646,CA,Lytle Creek CDP,6.4,CA,Lytle Creek CDP,90.8
2756,CA,Mabie CDP,93.2,0,0,0.6,2.5,CA-Mabie CDP,CA,Mabie CDP,-,CA,Mabie CDP,0,CA,Mabie CDP,100
2757,CA,Macdoel CDP,42.9,0,4.5,0,58.6,CA-Macdoel CDP,CA,Macdoel CDP,35625,CA,Macdoel CDP,15.2,CA,Macdoel CDP,31
2758,CA,Mad River CDP,91.2,0.2,2.6,0.2,5,CA-Mad River CDP,CA,Mad River CDP,33947,CA,Mad River CDP,29.9,CA,Mad River CDP,93.6
2759,CA,Madera Acres CDP,63.7,2.6,1.8,1.2,65.3,CA-Madera Acres CDP,CA,Madera Acres CDP,61573,CA,Madera Acres CDP,13.3,CA,Madera Acres CDP,76.9
2760,CA,Madera city,49.9,3.4,3.1,2.2,76.7,CA-Madera city,CA,Madera city,40457,CA,Madera city,27.6,CA,Madera city,58.2
2761,CA,Madison CDP,44.5,0.2,1.6,0.6,76.3,CA-Madison CDP,CA,Madison CDP,55156,CA,Madison CDP,3.6,CA,Madison CDP,72.1
2762,CA,Magalia CDP,91.9,0.4,1.2,0.8,6.8,CA-Magalia CDP,CA,Magalia CDP,41289,CA,Magalia CDP,17.9,CA,Magalia CDP,89.2
2763,CA,Malaga CDP,44.1,1.3,1.6,1.2,94.1,CA-Malaga CDP,CA,Malaga CDP,39837,CA,Malaga CDP,31.7,CA,Malaga CDP,49
2764,CA,Malibu city,91.5,1.2,0.2,2.6,6.1,CA-Malibu city,CA,Malibu city,119659,CA,Malibu city,10.5,CA,Malibu city,97.7
2765,CA,Mammoth Lakes town,80.7,0.4,0.6,1.6,33.7,CA-Mammoth Lakes town,CA,Mammoth Lakes town,55799,CA,Mammoth Lakes town,3.8,CA,Mammoth Lakes town,82.3
2766,CA,Manchester CDP,77.4,0,2.1,0.5,24.6,CA-Manchester CDP,CA,Manchester CDP,36250,CA,Manchester CDP,7.1,CA,Manchester CDP,79.8
2767,CA,Manhattan Beach city,84.5,0.8,0.2,8.6,6.9,CA-Manhattan Beach city,CA,Manhattan Beach city,143527,CA,Manhattan Beach city,4,CA,Manhattan Beach city,97.8
2768,CA,Manila CDP,87.5,1.8,3.2,0.6,3.8,CA-Manila CDP,CA,Manila CDP,32566,CA,Manila CDP,14.5,CA,Manila CDP,97
2769,CA,Manteca city,62.4,4.3,1.1,7.1,37.7,CA-Manteca city,CA,Manteca city,62364,CA,Manteca city,12.1,CA,Manteca city,82.5
2770,CA,Manton CDP,89.9,0,5.8,0.3,10.1,CA-Manton CDP,CA,Manton CDP,31750,CA,Manton CDP,42.3,CA,Manton CDP,88.5
2771,CA,March ARB CDP,70,14.8,0.9,3,14.8,CA-March ARB CDP,CA,March ARB CDP,68750,CA,March ARB CDP,22.4,CA,March ARB CDP,89.8
2772,CA,Maricopa city,83,0.1,2.3,1.4,20.1,CA-Maricopa city,CA,Maricopa city,28947,CA,Maricopa city,36.1,CA,Maricopa city,77.6
2773,CA,Marin City CDP,38.9,38.1,0.6,10.8,13.7,CA-Marin City CDP,CA,Marin City CDP,40321,CA,Marin City CDP,33.4,CA,Marin City CDP,82.6
2774,CA,Marina city,45.2,7.5,0.7,19.9,27.2,CA-Marina city,CA,Marina city,54193,CA,Marina city,15.3,CA,Marina city,83.1
2775,CA,Marina del Rey CDP,79.8,5.2,0.3,8.4,7.7,CA-Marina del Rey CDP,CA,Marina del Rey CDP,100195,CA,Marina del Rey CDP,13,CA,Marina del Rey CDP,97.2
2776,CA,Mariposa CDP,87.2,0.5,4.8,1.4,9.9,CA-Mariposa CDP,CA,Mariposa CDP,38472,CA,Mariposa CDP,33.3,CA,Mariposa CDP,78
2777,CA,Markleeville CDP,91.4,0,1.9,1,5.2,CA-Markleeville CDP,CA,Markleeville CDP,51250,CA,Markleeville CDP,10.2,CA,Markleeville CDP,89.2
2778,CA,Martell CDP,83,0,5,0,12.8,CA-Martell CDP,CA,Martell CDP,(X),CA,Martell CDP,0,CA,Martell CDP,100
2779,CA,Martinez city,77.1,3.6,0.7,8,14.7,CA-Martinez city,CA,Martinez city,87959,CA,Martinez city,6.1,CA,Martinez city,93.3
2780,CA,Marysville city,71,4.3,2.5,4.1,24.2,CA-Marysville city,CA,Marysville city,34566,CA,Marysville city,28.6,CA,Marysville city,81.4
2781,CA,Matheny CDP,53.7,3.6,2,0.3,73.4,CA-Matheny CDP,CA,Matheny CDP,30565,CA,Matheny CDP,36.8,CA,Matheny CDP,44.7
2782,CA,Mather CDP,55.7,8.8,0.9,19.1,15.8,CA-Mather CDP,CA,Mather CDP,79784,CA,Mather CDP,6.7,CA,Mather CDP,89.7
2783,CA,Maxwell CDP,66.5,1,1.3,0.8,51.7,CA-Maxwell CDP,CA,Maxwell CDP,46944,CA,Maxwell CDP,9.7,CA,Maxwell CDP,73.4
2784,CA,Mayfair CDP,44.2,3.7,2.2,6.8,65.6,CA-Mayfair CDP,CA,Mayfair CDP,46732,CA,Mayfair CDP,29.9,CA,Mayfair CDP,62.2
2785,CA,Mayflower Village CDP,53.1,1.5,0.5,31.4,27.6,CA-Mayflower Village CDP,CA,Mayflower Village CDP,65395,CA,Mayflower Village CDP,7.2,CA,Mayflower Village CDP,87.8
2786,CA,Maywood city,52,0.6,0.8,0.3,97.4,CA-Maywood city,CA,Maywood city,35582,CA,Maywood city,30.1,CA,Maywood city,41.2
2787,CA,McArthur CDP,64.2,0,4.4,0,35.2,CA-McArthur CDP,CA,McArthur CDP,43478,CA,McArthur CDP,15.2,CA,McArthur CDP,100
2788,CA,McClellan Park CDP,62.9,13.3,1.7,3.6,14.8,CA-McClellan Park CDP,CA,McClellan Park CDP,16938,CA,McClellan Park CDP,59.6,CA,McClellan Park CDP,80.5
2789,CA,McClenney Tract CDP,90,0,0,0,0,CA-McClenney Tract CDP,CA,McClenney Tract CDP,-,CA,McClenney Tract CDP,33.3,CA,McClenney Tract CDP,33.3
2790,CA,McCloud CDP,94.4,0.7,0.9,0.5,5.9,CA-McCloud CDP,CA,McCloud CDP,38068,CA,McCloud CDP,21.9,CA,McCloud CDP,92.4
2791,CA,McFarland city,42.8,1.9,1.3,0.7,91.5,CA-McFarland city,CA,McFarland city,34032,CA,McFarland city,36.8,CA,McFarland city,44.4
2792,CA,McGee Creek CDP,95.1,0,0,0,4.9,CA-McGee Creek CDP,CA,McGee Creek CDP,(X),CA,McGee Creek CDP,0,CA,McGee Creek CDP,69.1
2793,CA,McKinleyville CDP,85.7,0.7,4.6,1.4,7.1,CA-McKinleyville CDP,CA,McKinleyville CDP,50286,CA,McKinleyville CDP,13.9,CA,McKinleyville CDP,90.5
2794,CA,McKittrick CDP,87.8,0.9,0.9,0,7.8,CA-McKittrick CDP,CA,McKittrick CDP,40000,CA,McKittrick CDP,6.1,CA,McKittrick CDP,78.8
2795,CA,McSwain CDP,76.6,1.3,0.8,6.8,25.9,CA-McSwain CDP,CA,McSwain CDP,100156,CA,McSwain CDP,8.1,CA,McSwain CDP,83.3
2796,CA,Mead Valley CDP,45.3,8.2,1,1.4,72.4,CA-Mead Valley CDP,CA,Mead Valley CDP,40551,CA,Mead Valley CDP,33.4,CA,Mead Valley CDP,55.5
2797,CA,Meadow Valley CDP,93.8,0,2.8,0,4.5,CA-Meadow Valley CDP,CA,Meadow Valley CDP,47891,CA,Meadow Valley CDP,31.1,CA,Meadow Valley CDP,97.5
2798,CA,Meadow Vista CDP,93.8,0,0.7,1.1,5.3,CA-Meadow Vista CDP,CA,Meadow Vista CDP,77228,CA,Meadow Vista CDP,5.4,CA,Meadow Vista CDP,94.1
2799,CA,Meadowbrook CDP,63.9,4.1,0.6,1.6,55.4,CA-Meadowbrook CDP,CA,Meadowbrook CDP,39567,CA,Meadowbrook CDP,35,CA,Meadowbrook CDP,71.2
2800,CA,Mecca CDP,31.3,0.5,0.5,0.2,98.7,CA-Mecca CDP,CA,Mecca CDP,26047,CA,Mecca CDP,43.1,CA,Mecca CDP,28.8
2801,CA,Meiners Oaks CDP,78.1,0.4,1.6,1.4,29.9,CA-Meiners Oaks CDP,CA,Meiners Oaks CDP,74375,CA,Meiners Oaks CDP,17.3,CA,Meiners Oaks CDP,72.3
2802,CA,Mendocino CDP,93.3,0.6,0.9,1.5,4.7,CA-Mendocino CDP,CA,Mendocino CDP,50951,CA,Mendocino CDP,6.7,CA,Mendocino CDP,91.6
2803,CA,Mendota city,52.9,1,1.4,0.7,96.6,CA-Mendota city,CA,Mendota city,25862,CA,Mendota city,46.5,CA,Mendota city,30.5
2804,CA,Menifee city,71.5,5,0.8,4.9,33,CA-Menifee city,CA,Menifee city,55985,CA,Menifee city,12.1,CA,Menifee city,85.9
2805,CA,Menlo Park city,70.2,4.8,0.5,9.9,18.4,CA-Menlo Park city,CA,Menlo Park city,121816,CA,Menlo Park city,7.8,CA,Menlo Park city,92.3
2806,CA,Mentone CDP,70.1,5,1.4,4,35.4,CA-Mentone CDP,CA,Mentone CDP,55781,CA,Mentone CDP,9.9,CA,Mentone CDP,89.1
2807,CA,Merced city,52.2,6.3,1.5,11.8,49.6,CA-Merced city,CA,Merced city,37627,CA,Merced city,31.9,CA,Merced city,74.5
2808,CA,Meridian CDP,74.9,0.6,2,0,23.7,CA-Meridian CDP,CA,Meridian CDP,56250,CA,Meridian CDP,16.7,CA,Meridian CDP,76
2809,CA,Mesa CDP,87.6,0,4,1.2,10.4,CA-Mesa CDP,CA,Mesa CDP,100500,CA,Mesa CDP,4.7,CA,Mesa CDP,90.9
2810,CA,Mesa Verde CDP,57.6,0.8,0.9,0.4,69.9,CA-Mesa Verde CDP,CA,Mesa Verde CDP,31912,CA,Mesa Verde CDP,23.3,CA,Mesa Verde CDP,50.2
2811,CA,Mesa Vista CDP,89,0,7.5,1,5.5,CA-Mesa Vista CDP,CA,Mesa Vista CDP,51875,CA,Mesa Vista CDP,20.7,CA,Mesa Vista CDP,92.7
2812,CA,Mettler CDP,54.4,0,0,0,80.1,CA-Mettler CDP,CA,Mettler CDP,40000,CA,Mettler CDP,21.3,CA,Mettler CDP,23.4
2813,CA,Mexican Colony CDP,57.7,0,5.3,0,80.8,CA-Mexican Colony CDP,CA,Mexican Colony CDP,16875,CA,Mexican Colony CDP,83.1,CA,Mexican Colony CDP,36.4
2814,CA,Mi-Wuk Village CDP,92.6,0.5,1.8,0.3,7.5,CA-Mi-Wuk Village CDP,CA,Mi-Wuk Village CDP,54758,CA,Mi-Wuk Village CDP,11.2,CA,Mi-Wuk Village CDP,90.4
2815,CA,Middletown CDP,74.5,0.4,2.1,1.4,31.2,CA-Middletown CDP,CA,Middletown CDP,(X),CA,Middletown CDP,18.6,CA,Middletown CDP,94
2816,CA,Midpines CDP,82.2,0.3,5.2,0.6,17.3,CA-Midpines CDP,CA,Midpines CDP,(X),CA,Midpines CDP,8.2,CA,Midpines CDP,94.6
2817,CA,Midway City CDP,34,0.8,0.8,47.1,29.1,CA-Midway City CDP,CA,Midway City CDP,44425,CA,Midway City CDP,22.2,CA,Midway City CDP,72.5
2818,CA,Milford CDP,89.8,0.6,0.6,0.6,6.6,CA-Milford CDP,CA,Milford CDP,115260,CA,Milford CDP,0,CA,Milford CDP,100
2819,CA,Mill Valley city,88.8,0.8,0.2,5.4,4.5,CA-Mill Valley city,CA,Mill Valley city,143005,CA,Mill Valley city,3.3,CA,Mill Valley city,97.8
2820,CA,Millbrae city,47.3,0.8,0.2,42.8,11.9,CA-Millbrae city,CA,Millbrae city,93777,CA,Millbrae city,6.5,CA,Millbrae city,92.6
2821,CA,Millville CDP,92.6,0,0.8,0.8,6.9,CA-Millville CDP,CA,Millville CDP,64028,CA,Millville CDP,10.3,CA,Millville CDP,91.7
2822,CA,Milpitas city,20.5,2.9,0.5,62.2,16.8,CA-Milpitas city,CA,Milpitas city,100242,CA,Milpitas city,8.2,CA,Milpitas city,86.6
2823,CA,Mineral CDP,93.5,0,0.8,0.8,3.3,CA-Mineral CDP,CA,Mineral CDP,45625,CA,Mineral CDP,10.1,CA,Mineral CDP,100
2824,CA,Minkler CDP,81.6,0.4,2,2.3,30.1,CA-Minkler CDP,CA,Minkler CDP,(X),CA,Minkler CDP,17.9,CA,Minkler CDP,88.2
2825,CA,Mira Loma CDP,57.4,1.7,1.1,2.1,67.7,CA-Mira Loma CDP,,,,,,,,,
2826,CA,Mira Monte CDP,87.4,0.6,0.9,1.9,18.3,CA-Mira Monte CDP,CA,Mira Monte CDP,61150,CA,Mira Monte CDP,13.4,CA,Mira Monte CDP,90.6
2827,CA,Miranda CDP,84.4,0.8,2.5,0.8,14.4,CA-Miranda CDP,CA,Miranda CDP,35417,CA,Miranda CDP,37.1,CA,Miranda CDP,88.2
2828,CA,Mission Canyon CDP,92.1,0.6,0.7,1.7,8.3,CA-Mission Canyon CDP,CA,Mission Canyon CDP,120227,CA,Mission Canyon CDP,3.6,CA,Mission Canyon CDP,97
2829,CA,Mission Hills CDP,75.2,2.5,2.1,3.5,31.8,CA-Mission Hills CDP,CA,Mission Hills CDP,83234,CA,Mission Hills CDP,5.8,CA,Mission Hills CDP,86.8
2830,CA,Mission Viejo city,79.8,1.3,0.4,9.1,17,CA-Mission Viejo city,CA,Mission Viejo city,100366,CA,Mission Viejo city,5.4,CA,Mission Viejo city,93.8
2831,CA,Modesto city,65,4.2,1.2,6.7,35.5,CA-Modesto city,CA,Modesto city,48577,CA,Modesto city,20.5,CA,Modesto city,81.2
2832,CA,Mohawk Vista CDP,91.8,0,0.6,4.4,2.5,CA-Mohawk Vista CDP,CA,Mohawk Vista CDP,(X),CA,Mohawk Vista CDP,38.8,CA,Mohawk Vista CDP,100
2833,CA,Mojave CDP,56.2,15.1,1.3,1.3,37.6,CA-Mojave CDP,CA,Mojave CDP,36250,CA,Mojave CDP,31.1,CA,Mojave CDP,72.6
2834,CA,Mokelumne Hill CDP,88.4,0.5,1.9,0.6,10.2,CA-Mokelumne Hill CDP,CA,Mokelumne Hill CDP,61890,CA,Mokelumne Hill CDP,29,CA,Mokelumne Hill CDP,100
2835,CA,Monmouth CDP,53.9,3.9,0.7,3.3,70.4,CA-Monmouth CDP,CA,Monmouth CDP,30625,CA,Monmouth CDP,4.8,CA,Monmouth CDP,56.9
2836,CA,Mono City CDP,90.7,0,0.6,1.2,21.5,CA-Mono City CDP,CA,Mono City CDP,(X),CA,Mono City CDP,0,CA,Mono City CDP,100
2837,CA,Mono Vista CDP,89.4,0.2,1.9,1.2,9.6,CA-Mono Vista CDP,CA,Mono Vista CDP,53596,CA,Mono Vista CDP,13.6,CA,Mono Vista CDP,91.8
2838,CA,Monrovia city,59.9,6.8,0.8,11.2,38.4,CA-Monrovia city,CA,Monrovia city,70358,CA,Monrovia city,10.1,CA,Monrovia city,88.8
2839,CA,Monson CDP,64.4,0.5,2.7,2.1,78.2,CA-Monson CDP,CA,Monson CDP,(X),CA,Monson CDP,45.6,CA,Monson CDP,71.7
2840,CA,Montague city,86.7,0.3,4.6,0.6,7.4,CA-Montague city,CA,Montague city,46591,CA,Montague city,21.2,CA,Montague city,91.3
2841,CA,Montalvin Manor CDP,45,7.7,1.3,10.6,62.6,CA-Montalvin Manor CDP,CA,Montalvin Manor CDP,66467,CA,Montalvin Manor CDP,8.1,CA,Montalvin Manor CDP,72.5
2842,CA,Montara CDP,85.6,0.6,0.7,4.9,11.1,CA-Montara CDP,CA,Montara CDP,123194,CA,Montara CDP,3.6,CA,Montara CDP,96.2
2843,CA,Montclair city,52.7,5.2,1.2,9.3,70.2,CA-Montclair city,CA,Montclair city,49366,CA,Montclair city,16.9,CA,Montclair city,70.1
2844,CA,Monte Rio CDP,90.9,0.9,0.5,1,6.9,CA-Monte Rio CDP,CA,Monte Rio CDP,32763,CA,Monte Rio CDP,26,CA,Monte Rio CDP,95.6
2845,CA,Monte Sereno city,80.8,0.4,0.4,13.9,4.8,CA-Monte Sereno city,CA,Monte Sereno city,193482,CA,Monte Sereno city,3.4,CA,Monte Sereno city,98.9
2846,CA,Montebello city,53.8,0.9,1,11,79.3,CA-Montebello city,CA,Montebello city,45875,CA,Montebello city,14,CA,Montebello city,71.7
2847,CA,Montecito CDP,92.2,0.6,0.4,2.4,6.7,CA-Montecito CDP,CA,Montecito CDP,136619,CA,Montecito CDP,7,CA,Montecito CDP,97.5
2848,CA,Monterey Park Tract CDP,57.9,12.8,0,0,84.2,CA-Monterey Park Tract CDP,CA,Monterey Park Tract CDP,-,CA,Monterey Park Tract CDP,86,CA,Monterey Park Tract CDP,0
2849,CA,Monterey Park city,19.4,0.4,0.4,66.9,26.9,CA-Monterey Park city,CA,Monterey Park city,54097,CA,Monterey Park city,17.3,CA,Monterey Park city,78.7
2850,CA,Monterey city,78.3,2.8,0.5,7.9,13.7,CA-Monterey city,CA,Monterey city,66166,CA,Monterey city,9.1,CA,Monterey city,94.3
2851,CA,Montgomery Creek CDP,71.8,1.2,9.8,0,11,CA-Montgomery Creek CDP,CA,Montgomery Creek CDP,57386,CA,Montgomery Creek CDP,3.2,CA,Montgomery Creek CDP,100
2852,CA,Monument Hills CDP,75.4,1.3,2.1,5,26.1,CA-Monument Hills CDP,CA,Monument Hills CDP,113750,CA,Monument Hills CDP,2.4,CA,Monument Hills CDP,91.4
2853,CA,Moorpark city,75.1,1.5,0.7,6.8,31.4,CA-Moorpark city,CA,Moorpark city,99777,CA,Moorpark city,7.2,CA,Moorpark city,87.6
2854,CA,Morada CDP,74.4,1.2,0.7,10.8,17.7,CA-Morada CDP,CA,Morada CDP,105658,CA,Morada CDP,3.3,CA,Morada CDP,87.5
2855,CA,Moraga town,76.2,1.7,0.2,14.9,7,CA-Moraga town,CA,Moraga town,137436,CA,Moraga town,5,CA,Moraga town,98.5
2856,CA,Moreno Valley city,41.9,18,0.9,6.1,54.4,CA-Moreno Valley city,CA,Moreno Valley city,54590,CA,Moreno Valley city,19.3,CA,Moreno Valley city,75.2
2857,CA,Morgan Hill city,65.2,2,0.9,10.2,34,CA-Morgan Hill city,CA,Morgan Hill city,96051,CA,Morgan Hill city,9.8,CA,Morgan Hill city,88.9
2858,CA,Morongo Valley CDP,86.6,1.1,2.1,0.9,14.9,CA-Morongo Valley CDP,CA,Morongo Valley CDP,34276,CA,Morongo Valley CDP,15.4,CA,Morongo Valley CDP,80.9
2859,CA,Morro Bay city,87.1,0.4,0.9,2.5,14.9,CA-Morro Bay city,CA,Morro Bay city,51338,CA,Morro Bay city,12.9,CA,Morro Bay city,91.2
2860,CA,Moskowite Corner CDP,86.7,0.5,6.6,0.5,11.8,CA-Moskowite Corner CDP,CA,Moskowite Corner CDP,52750,CA,Moskowite Corner CDP,13.4,CA,Moskowite Corner CDP,91.3
2861,CA,Moss Beach CDP,73.5,0.8,1.4,3.8,29.1,CA-Moss Beach CDP,CA,Moss Beach CDP,91441,CA,Moss Beach CDP,5.1,CA,Moss Beach CDP,87
2862,CA,Moss Landing CDP,73,3.4,0.5,1,22.5,CA-Moss Landing CDP,CA,Moss Landing CDP,31500,CA,Moss Landing CDP,19,CA,Moss Landing CDP,82.8
2863,CA,Mount Hebron CDP,76.8,0,1.1,0,43.2,CA-Mount Hebron CDP,CA,Mount Hebron CDP,20000,CA,Mount Hebron CDP,5.1,CA,Mount Hebron CDP,70
2864,CA,Mount Hermon CDP,93,0.6,0.3,1.4,8,CA-Mount Hermon CDP,CA,Mount Hermon CDP,74000,CA,Mount Hermon CDP,9.2,CA,Mount Hermon CDP,100
2865,CA,Mount Laguna CDP,96.5,0,0,1.8,1.8,CA-Mount Laguna CDP,CA,Mount Laguna CDP,-,CA,Mount Laguna CDP,0,CA,Mount Laguna CDP,100
2866,CA,Mount Shasta city,89.6,1.8,0.6,1.6,8.2,CA-Mount Shasta city,CA,Mount Shasta city,39777,CA,Mount Shasta city,23.3,CA,Mount Shasta city,92.7
2867,CA,Mountain Center CDP,95.2,0,1.6,1.6,23.8,CA-Mountain Center CDP,CA,Mountain Center CDP,-,CA,Mountain Center CDP,0,CA,Mountain Center CDP,100
2868,CA,Mountain Gate CDP,90.1,0.7,2.9,0.5,5.2,CA-Mountain Gate CDP,CA,Mountain Gate CDP,32337,CA,Mountain Gate CDP,23.4,CA,Mountain Gate CDP,87.2
